dda_agent_name,game_id,survival_time_steps,total_kills,avg_health_percent,health_std,min_health,time_in_flow_zone_percent,time_in_danger_zone_percent,time_in_safety_zone_percent,near_death_count,near_death_time_percent,action_do_nothing_count,action_slightly_easier_count,action_much_easier_count,action_slightly_harder_count,action_much_harder_count,action_oscillations
RL_best_dda_model_2,48,6300,37,90.47619047619048,26.632631341161073,0.0,0.0,9.523809523809524,90.47619047619048,1,4.761904761904762,0,0,0,0,0,0
RL_best_dda_model_2,49,8100,49,53.148148148148145,27.660245176738968,-5.0,66.66666666666666,11.11111111111111,22.22222222222222,1,11.11111111111111,0,0,0,0,0,0
RL_best_dda_model_2,50,4500,25,92.0,25.08651696296904,0.0,0.0,6.666666666666667,93.33333333333333,1,6.666666666666667,0,0,0,0,0,0
RL_best_dda_model_2,51,5100,30,94.11764705882354,23.529411764705884,0.0,0.0,5.88235294117647,94.11764705882352,1,5.88235294117647,0,0,0,0,0,0
RL_best_dda_model_2,52,5100,29,90.88235294117646,26.135129284144778,0.0,5.88235294117647,5.88235294117647,88.23529411764706,1,5.88235294117647,0,0,0,0,0,0
RL_best_dda_model_2,53,7200,41,86.45833333333333,22.054816493354814,-10.0,4.166666666666666,4.166666666666666,91.66666666666666,1,4.166666666666666,0,0,0,0,0,0
RL_best_dda_model_2,54,4500,27,92.66666666666667,24.890872936792622,0.0,0.0,6.666666666666667,93.33333333333333,1,6.666666666666667,0,0,0,0,0,0
RL_best_dda_model_2,55,9000,53,73.0,28.682166352398603,0.0,40.0,3.3333333333333335,56.666666666666664,1,3.3333333333333335,0,0,0,0,0,0
RL_best_dda_model_2,56,4500,26,89.33333333333333,28.158282775923833,0.0,6.666666666666667,6.666666666666667,86.66666666666667,1,6.666666666666667,0,0,0,0,0,0
RL_best_dda_model_2,57,4800,28,85.625,24.992186278915256,0.0,6.25,6.25,87.5,1,6.25,0,0,0,0,0,0
RL_best_dda_model_2,58,4500,26,89.33333333333333,28.158282775923833,0.0,6.666666666666667,6.666666666666667,86.66666666666667,1,6.666666666666667,0,0,0,0,0,0
RL_best_dda_model_2,59,6000,36,86.75,28.951468011138918,-5.0,10.0,10.0,80.0,1,10.0,0,0,0,0,0,0
RL_best_dda_model_2,60,6300,36,78.57142857142857,25.220119384505452,0.0,28.57142857142857,4.761904761904762,66.66666666666666,1,4.761904761904762,0,0,0,0,0,0
RL_best_dda_model_2,61,4500,26,93.0,26.19160170741759,-5.0,0.0,6.666666666666667,93.33333333333333,1,6.666666666666667,0,0,0,0,0,0
RL_best_dda_model_2,62,3900,22,90.76923076923077,26.73561107228118,0.0,0.0,7.6923076923076925,92.3076923076923,1,7.6923076923076925,0,0,0,0,1,0
RL_best_dda_model_2,63,5700,30,87.36842105263158,30.537656695534018,-5.0,5.263157894736842,10.526315789473683,84.21052631578947,1,10.526315789473683,0,1,0,0,0,0
RL_best_dda_model_2,64,4200,23,87.14285714285714,30.101867865293542,0.0,7.142857142857142,7.142857142857142,85.71428571428571,1,7.142857142857142,0,0,0,0,0,0
RL_best_dda_model_2,65,5100,28,72.3529411764706,38.08340873347928,0.0,5.88235294117647,29.411764705882355,64.70588235294117,1,5.88235294117647,0,0,0,0,0,0
RL_best_dda_model_2,66,6300,36,91.66666666666667,21.455010144892974,0.0,0.0,4.761904761904762,95.23809523809523,1,4.761904761904762,0,0,0,0,0,0
RL_best_dda_model_2,67,7800,49,90.1923076923077,23.430780594976788,-15.0,7.6923076923076925,3.8461538461538463,88.46153846153845,1,3.8461538461538463,0,0,0,0,0,0
RL_best_dda_model_2,68,5400,31,91.11111111111111,26.486660980133816,-5.0,5.555555555555555,5.555555555555555,88.88888888888889,1,5.555555555555555,0,0,0,0,0,0
